english	hindi	pos	category	definition_en	definition_hi	example_en	example_hi
Ministry	मंत्रालय	noun	organisation	The highest administrative unit of the Union Government, headed by a Minister.	संघ सरकार की सर्वोच्च प्रशासनिक इकाई, जिसका प्रमुख एक मंत्री होता है।	The scheme is administered by the Ministry of Finance.	यह योजना वित्त मंत्रालय द्वारा प्रशासित है।
Department	विभाग	noun	organisation	A constituent unit of a Ministry dealing with a defined group of subjects.	मंत्रालय की एक घटक इकाई जो विषयों के निर्धारित समूह से संबंधित कार्य करती है।	The proposal was referred to the Department of Expenditure.	प्रस्ताव व्यय विभाग को संदर्भित किया गया।
Directorate	निदेशालय	noun	organisation	An executive office that implements the policies framed by a Ministry.	कार्यपालक कार्यालय जो मंत्रालय द्वारा बनाई गई नीतियों को कार्यान्वित करता है।	The Directorate issued detailed guidelines to field offices.	निदेशालय ने क्षेत्रीय कार्यालयों को विस्तृत दिशानिर्देश जारी किए।
Section	अनुभाग	noun	organisation	The basic working unit of a secretariat office, headed by a Section Officer.	सचिवालय कार्यालय की मूल कार्य इकाई, जिसका प्रमुख अनुभाग अधिकारी होता है।	The file is currently with the Establishment Section.	फाइल इस समय स्थापना अनुभाग में है।
Cell	प्रकोष्ठ	noun	organisation	A small unit created within an office for a specific task or subject.	किसी विशिष्ट कार्य या विषय के लिए कार्यालय के भीतर गठित छोटी इकाई।	A separate Grievance Cell has been set up in the Department.	विभाग में एक पृथक शिकायत प्रकोष्ठ स्थापित किया गया है।
Attached Office	संलग्न कार्यालय	noun	organisation	An office attached to a Ministry to provide executive direction and technical advice.	मंत्रालय से संलग्न कार्यालय जो कार्यपालक निदेश और तकनीकी परामर्श देता है।	The Attached Office submits monthly progress reports.	संलग्न कार्यालय मासिक प्रगति रिपोर्ट प्रस्तुत करता है।
Subordinate Office	अधीनस्थ कार्यालय	noun	organisation	A field office that carries out the executive work of a Ministry or Department.	क्षेत्रीय कार्यालय जो मंत्रालय या विभाग का कार्यपालक कार्य संपादित करता है।	Instructions were circulated to all Subordinate Offices.	सभी अधीनस्थ कार्यालयों को अनुदेश परिचालित किए गए।
Autonomous Body	स्वायत्त निकाय	noun	organisation	An organisation set up by government with its own governing body and finances.	सरकार द्वारा स्थापित संगठन जिसका अपना शासी निकाय और वित्त होता है।	Grants were released to the Autonomous Body for the current year.	चालू वर्ष हेतु स्वायत्त निकाय को अनुदान जारी किए गए।
Cadre	संवर्ग	noun	service matters	The sanctioned strength of posts of a particular service or grade.	किसी विशेष सेवा या ग्रेड के पदों की स्वीकृत संख्या।	The cadre review of the service is under consideration.	सेवा की संवर्ग समीक्षा विचाराधीन है।
Establishment	स्थापना	noun	service matters	The staff of an office, and matters relating to their service conditions.	किसी कार्यालय का कर्मचारी वर्ग तथा उनकी सेवा शर्तों से संबंधित विषय।	Establishment matters are dealt with by the Administration Division.	स्थापना संबंधी विषय प्रशासन प्रभाग द्वारा देखे जाते हैं।
File	फाइल	noun	noting and drafting	A collection of papers on a specific subject, containing notes and correspondence.	किसी विशिष्ट विषय पर कागज़ातों का संग्रह, जिसमें टिप्पणियां और पत्राचार होते हैं।	Please place the earlier file on the table for reference.	कृपया संदर्भ हेतु पुरानी फाइल मेज़ पर रखें।
Noting	टिप्पणी	noun	noting and drafting	The remarks recorded on a file to facilitate a decision on the case.	मामले पर निर्णय लेने में सुविधा हेतु फाइल पर अंकित की गई टिप्पणियां।	The noting should bring out the rule position clearly.	टिप्पणी में नियम की स्थिति स्पष्ट रूप से उजागर होनी चाहिए।
Draft	मसौदा; प्रारूप	noun	noting and drafting	A preliminary version of a letter or order prepared for approval.	किसी पत्र या आदेश का प्रारंभिक रूप जो अनुमोदन हेतु तैयार किया जाता है।	The draft reply is placed below for approval.	उत्तर का मसौदा अनुमोदन हेतु नीचे रखा गया है।
Dak	डाक	noun	noting and drafting	The communications received in an office, including letters and other papers.	कार्यालय में प्राप्त पत्र-व्यवहार, जिसमें पत्र तथा अन्य कागज़ात सम्मिलित हैं।	The dak received today has been marked to the sections.	आज प्राप्त डाक अनुभागों को चिह्नित कर दी गई है।
Diary Number	डायरी संख्या	noun	noting and drafting	The serial number given to a communication when it is received and registered.	किसी पत्र के प्राप्त होने और पंजीकृत किए जाने पर उसे दी गई क्रम संख्या।	Please quote the diary number in all further correspondence.	कृपया आगे के समस्त पत्राचार में डायरी संख्या का उल्लेख करें।
Endorsement	पृष्ठांकन	noun	noting and drafting	A note added to a communication while forwarding it to another authority.	किसी पत्र को अन्य प्राधिकारी को अग्रेषित करते समय उस पर जोड़ी गई टिप्पणी।	A copy is forwarded by endorsement to the field office.	एक प्रति पृष्ठांकन द्वारा क्षेत्रीय कार्यालय को अग्रेषित की जाती है।
Enclosure	संलग्नक	noun	noting and drafting	A document sent along with a letter.	पत्र के साथ भेजा गया दस्तावेज़।	The enclosures listed in the letter were not received.	पत्र में उल्लिखित संलग्नक प्राप्त नहीं हुए।
Annexure	अनुबंध	noun	noting and drafting	A statement or document attached to the main document as part of it.	मुख्य दस्तावेज़ के भाग के रूप में उससे संलग्न विवरण या दस्तावेज़।	The details are given in Annexure I to this memorandum.	विवरण इस ज्ञापन के अनुबंध-1 में दिया गया है।
Appendix	परिशिष्ट	noun	noting and drafting	Supplementary matter placed at the end of a document.	दस्तावेज़ के अंत में रखी गई पूरक सामग्री।	The forms are reproduced in the Appendix.	प्रपत्र परिशिष्ट में पुनः प्रस्तुत किए गए हैं।
Office Memorandum	कार्यालय ज्ञापन	noun	noting and drafting	A communication issued by a Ministry to convey a decision or instruction.	मंत्रालय द्वारा किसी निर्णय या अनुदेश को संप्रेषित करने हेतु जारी पत्र।	The revised rates were notified through an Office Memorandum.	संशोधित दरें कार्यालय ज्ञापन के माध्यम से अधिसूचित की गईं।
Office Order	कार्यालय आदेश	noun	noting and drafting	An order issued for the internal administration of an office.	कार्यालय के आंतरिक प्रशासन हेतु जारी किया गया आदेश।	An Office Order was issued regarding the change in duties.	कर्तव्यों में परिवर्तन के संबंध में कार्यालय आदेश जारी किया गया।
Circular	परिपत्र	noun	noting and drafting	A communication addressed to several offices conveying the same information.	एक ही सूचना देने हेतु अनेक कार्यालयों को संबोधित पत्र।	A circular was issued to all Heads of Departments.	सभी विभागाध्यक्षों को परिपत्र जारी किया गया।
Notification	अधिसूचना	noun	legislative	A formal announcement published in the Gazette to give legal effect to a decision.	किसी निर्णय को विधिक प्रभाव देने हेतु राजपत्र में प्रकाशित औपचारिक घोषणा।	The appointment was made effective by a notification in the Gazette.	नियुक्ति राजपत्र में अधिसूचना द्वारा प्रभावी की गई।
Resolution	संकल्प	noun	legislative	A formal declaration of government policy or of the constitution of a body.	सरकारी नीति अथवा किसी निकाय के गठन की औपचारिक घोषणा।	The Commission was constituted by a Resolution of the Government.	आयोग का गठन सरकार के संकल्प द्वारा किया गया।
Demi-official letter	अर्ध-शासकीय पत्र	noun	noting and drafting	A letter written by an officer in the first person to another officer by name.	एक अधिकारी द्वारा दूसरे अधिकारी को नाम से, उत्तम पुरुष में लिखा गया पत्र।	The matter was pursued through a demi-official letter.	मामले की अनुवर्ती कार्रवाई अर्ध-शासकीय पत्र के माध्यम से की गई।
Reminder	अनुस्मारक	noun	noting and drafting	A communication sent to obtain a reply to an earlier letter.	पूर्व में भेजे गए पत्र का उत्तर प्राप्त करने हेतु भेजा गया पत्र।	A third reminder has been issued to the office concerned.	संबंधित कार्यालय को तीसरा अनुस्मारक जारी किया गया है।
Acknowledgement	पावती	noun	noting and drafting	A written confirmation that a communication has been received.	इस बात की लिखित पुष्टि कि पत्र प्राप्त हो गया है।	An acknowledgement should be sent within three days.	पावती तीन दिन के भीतर भेजी जानी चाहिए।
Record	अभिलेख	noun	noting and drafting	A file or document preserved for future reference after its work is complete.	कार्य पूर्ण होने के बाद भावी संदर्भ हेतु सुरक्षित रखी गई फाइल या दस्तावेज़।	The file has been consigned to the record room.	फाइल अभिलेख कक्ष को सौंप दी गई है।
Precedent	पूर्वोदाहरण; नज़ीर	noun	noting and drafting	An earlier decision cited as an authority for deciding a similar case.	पूर्व में लिया गया निर्णय जो समान मामले के निर्णय हेतु आधार के रूप में उद्धृत किया जाता है।	No precedent could be traced in this Department.	इस विभाग में कोई पूर्वोदाहरण नहीं मिल सका।
Confidential	गोपनीय	adjective	classification	A security classification for papers whose disclosure would harm administration.	उन कागज़ातों का सुरक्षा वर्गीकरण जिनके प्रकटन से प्रशासन को हानि हो सकती है।	The report is confidential and may not be circulated.	यह प्रतिवेदन गोपनीय है और परिचालित नहीं किया जा सकता।
Secret	गुप्त	adjective	classification	A classification above confidential, for papers whose disclosure would endanger interests.	गोपनीय से उच्चतर वर्गीकरण, उन कागज़ातों के लिए जिनके प्रकटन से हितों को खतरा हो।	Secret papers must be kept in a locked almirah.	गुप्त कागज़ात बंद अलमारी में रखे जाने चाहिए।
Top Secret	परम गुप्त	adjective	classification	The highest security classification, used for papers of the greatest importance.	सर्वोच्च सुरक्षा वर्गीकरण, जो अत्यंत महत्वपूर्ण कागज़ातों के लिए प्रयुक्त होता है।	Top Secret documents are handled by designated officers only.	परम गुप्त दस्तावेज़ केवल पदनामित अधिकारियों द्वारा ही संभाले जाते हैं।
Immediate	तत्काल	adjective	classification	A priority marking requiring that a case be dealt with at once.	प्राथमिकता चिह्न जिसके अनुसार मामले का निपटान तुरंत किया जाना अपेक्षित है।	The case is marked immediate and must be disposed of today.	मामला तत्काल चिह्नित है और आज ही निपटाया जाना चाहिए।
Compliance	अनुपालन	noun	general administration	The act of carrying out an order, instruction or rule.	किसी आदेश, अनुदेश अथवा नियम का पालन करने की क्रिया।	Compliance of the audit observation may be intimated.	लेखापरीक्षा प्रेक्षण का अनुपालन सूचित किया जाए।
Clarification	स्पष्टीकरण	noun	general administration	An explanation sought or given to remove doubt on a point.	किसी बिंदु पर संदेह दूर करने हेतु मांगा या दिया गया स्पष्टीकरण।	Clarification has been sought from the Ministry of Law.	विधि मंत्रालय से स्पष्टीकरण मांगा गया है।
Guidelines	दिशानिर्देश	noun	general administration	Instructions indicating how a policy or scheme is to be implemented.	अनुदेश जो यह बताते हैं कि किसी नीति या योजना का कार्यान्वयन किस प्रकार किया जाए।	Detailed guidelines have been issued for the scheme.	योजना हेतु विस्तृत दिशानिर्देश जारी किए गए हैं।
Delegation of Powers	शक्तियों का प्रत्यायोजन	noun	general administration	The formal transfer of specified powers from a higher authority to a lower one.	उच्चतर प्राधिकारी से निम्नतर प्राधिकारी को विनिर्दिष्ट शक्तियों का औपचारिक अंतरण।	The delegation of powers has been revised this year.	शक्तियों का प्रत्यायोजन इस वर्ष संशोधित किया गया है।
Ex-officio	पदेन	adjective	general administration	By virtue of holding an office, without separate appointment.	किसी पद को धारण करने के कारण, पृथक नियुक्ति के बिना।	The Secretary is an ex-officio member of the committee.	सचिव समिति के पदेन सदस्य हैं।
Pending	लंबित	adjective	general administration	Awaiting decision or disposal.	निर्णय अथवा निपटान की प्रतीक्षा में।	Twelve cases are pending for more than three months.	बारह मामले तीन माह से अधिक समय से लंबित हैं।
Disposal	निपटान	noun	general administration	The final settlement of a case so that no further action is required.	किसी मामले का अंतिम निपटारा जिसके बाद कोई कार्रवाई अपेक्षित न हो।	The monthly statement of disposal has been prepared.	निपटान का मासिक विवरण तैयार कर लिया गया है।
Approval	अनुमोदन	noun	general administration	The formal agreement of a competent authority to a proposal.	किसी प्रस्ताव पर सक्षम प्राधिकारी की औपचारिक सहमति।	The proposal is submitted for approval, please.	प्रस्ताव अनुमोदन हेतु प्रस्तुत है।
Sanction	मंजूरी; स्वीकृति	noun	finance and accounts	Formal permission of a competent authority, especially for expenditure.	सक्षम प्राधिकारी की औपचारिक अनुमति, विशेषकर व्यय के लिए।	Sanction for the purchase has been conveyed.	क्रय हेतु स्वीकृति संप्रेषित कर दी गई है।
Memorandum	ज्ञापन	noun	noting and drafting	A written statement of facts or points, issued formally.	तथ्यों अथवा बिंदुओं का लिखित विवरण, जो औपचारिक रूप से जारी किया जाता है।	A memorandum was submitted to the Commission.	आयोग को एक ज्ञापन प्रस्तुत किया गया।
Proforma	प्रपत्र	noun	general administration	A prescribed form in which information is to be furnished.	निर्धारित प्रपत्र जिसमें सूचना प्रस्तुत की जानी होती है।	The information may be sent in the prescribed proforma.	सूचना निर्धारित प्रपत्र में भेजी जाए।
Register	रजिस्टर; पंजी	noun	general administration	A bound record in which entries are made in a prescribed order.	बंधी हुई पंजी जिसमें निर्धारित क्रम में प्रविष्टियां की जाती हैं।	All receipts are entered in the dak register.	समस्त प्राप्तियां डाक रजिस्टर में दर्ज की जाती हैं।
Appointment	नियुक्ति	noun	service matters	The act of placing a person in a post in government service.	किसी व्यक्ति को सरकारी सेवा के किसी पद पर रखने की क्रिया।	The appointment is subject to verification of character and antecedents.	नियुक्ति चरित्र एवं पूर्ववृत्त के सत्यापन के अधीन है।
Recruitment	भर्ती	noun	service matters	The process of selecting persons for appointment to posts.	पदों पर नियुक्ति हेतु व्यक्तियों के चयन की प्रक्रिया।	Recruitment to the post is made through the Staff Selection Commission.	इस पद पर भर्ती कर्मचारी चयन आयोग के माध्यम से की जाती है।
Probation	परिवीक्षा	noun	service matters	The trial period during which a newly appointed employee is assessed.	वह परीक्षण अवधि जिसमें नवनियुक्त कर्मचारी का मूल्यांकन किया जाता है।	The officer is on probation for a period of two years.	अधिकारी दो वर्ष की अवधि हेतु परिवीक्षा पर है।
Confirmation	स्थायीकरण	noun	service matters	Making an employee permanent in a post after successful probation.	परिवीक्षा सफलतापूर्वक पूर्ण होने पर कर्मचारी को पद पर स्थायी करना।	Confirmation orders have been issued after completion of probation.	परिवीक्षा पूर्ण होने पर स्थायीकरण आदेश जारी कर दिए गए हैं।
Promotion	पदोन्नति	noun	service matters	Appointment of an employee to a post carrying higher responsibility and pay.	कर्मचारी की उच्चतर उत्तरदायित्व और वेतन वाले पद पर नियुक्ति।	The Departmental Promotion Committee met to consider promotions.	पदोन्नति पर विचार हेतु विभागीय पदोन्नति समिति की बैठक हुई।
Transfer	स्थानांतरण	noun	service matters	Movement of an employee from one post or station to another.	कर्मचारी का एक पद या स्थान से दूसरे पद या स्थान पर भेजा जाना।	Transfer orders were issued in the public interest.	स्थानांतरण आदेश लोकहित में जारी किए गए।
Deputation	प्रतिनियुक्ति	noun	service matters	Service of an employee in another organisation for a fixed period.	किसी कर्मचारी की निश्चित अवधि हेतु अन्य संगठन में सेवा।	The officer joined on deputation for a period of three years.	अधिकारी ने तीन वर्ष की अवधि हेतु प्रतिनियुक्ति पर कार्यभार ग्रहण किया।
Seniority	वरिष्ठता	noun	service matters	The relative rank of employees in a grade, based on prescribed rules.	निर्धारित नियमों के आधार पर किसी ग्रेड में कर्मचारियों का सापेक्ष क्रम।	The seniority list has been circulated for objections.	वरिष्ठता सूची आपत्तियों हेतु परिचालित की गई है।
Increment	वेतनवृद्धि	noun	service matters	The periodic increase in pay granted within a pay scale.	वेतनमान के भीतर दी जाने वाली आवधिक वेतन बढ़ोतरी।	The annual increment falls due on the first of July.	वार्षिक वेतनवृद्धि पहली जुलाई को देय होती है।
Pay Scale	वेतनमान	noun	service matters	The range of pay attached to a post, from minimum to maximum.	किसी पद से संबद्ध वेतन की सीमा, न्यूनतम से अधिकतम तक।	The post carries the pay scale of Level 7.	इस पद का वेतनमान स्तर-7 है।
Basic Pay	मूल वेतन	noun	service matters	The pay drawn in the pay scale, excluding allowances.	वेतनमान में आहरित वेतन, जिसमें भत्ते सम्मिलित नहीं हैं।	Allowances are calculated as a percentage of basic pay.	भत्तों की गणना मूल वेतन के प्रतिशत के रूप में की जाती है।
Dearness Allowance	महंगाई भत्ता	noun	service matters	An allowance paid to offset the rise in the cost of living.	जीवन-यापन की लागत में वृद्धि की भरपाई हेतु दिया जाने वाला भत्ता।	Dearness allowance has been enhanced with effect from January.	महंगाई भत्ता जनवरी से बढ़ा दिया गया है।
House Rent Allowance	मकान किराया भत्ता	noun	service matters	An allowance paid to an employee towards the rent of residential accommodation.	आवासीय आवास के किराए हेतु कर्मचारी को दिया जाने वाला भत्ता।	House rent allowance is not admissible in government accommodation.	सरकारी आवास में मकान किराया भत्ता देय नहीं है।
Travelling Allowance	यात्रा भत्ता	noun	service matters	The amount payable to an employee for journeys performed on official duty.	सरकारी कार्य हेतु की गई यात्राओं के लिए कर्मचारी को देय राशि।	The travelling allowance claim has been passed for payment.	यात्रा भत्ता दावा भुगतान हेतु पारित कर दिया गया है।
Leave Travel Concession	अवकाश यात्रा रियायत	noun	service matters	A concession allowing an employee to travel to a declared place during leave.	वह रियायत जिसके अंतर्गत कर्मचारी अवकाश के दौरान घोषित स्थान की यात्रा कर सकता है।	The official availed leave travel concession for his home town.	कर्मचारी ने अपने गृह नगर हेतु अवकाश यात्रा रियायत का लाभ लिया।
Earned Leave	अर्जित अवकाश	noun	service matters	Leave credited to an employee on the basis of service rendered.	की गई सेवा के आधार पर कर्मचारी के खाते में जमा किया गया अवकाश।	Thirty days of earned leave were sanctioned.	तीस दिन का अर्जित अवकाश स्वीकृत किया गया।
Casual Leave	आकस्मिक अवकाश	noun	service matters	Short leave granted for unforeseen personal needs, not treated as absence.	अप्रत्याशित व्यक्तिगत आवश्यकताओं हेतु दिया गया अल्प अवकाश, जिसे अनुपस्थिति नहीं माना जाता।	He applied for two days of casual leave.	उसने दो दिन के आकस्मिक अवकाश हेतु आवेदन किया।
Maternity Leave	मातृत्व अवकाश	noun	service matters	Leave granted to a woman employee in connection with childbirth.	प्रसव के संबंध में महिला कर्मचारी को दिया जाने वाला अवकाश।	Maternity leave was sanctioned for one hundred and eighty days.	एक सौ अस्सी दिन का मातृत्व अवकाश स्वीकृत किया गया।
Joining Report	कार्यभार ग्रहण रिपोर्ट	noun	service matters	The report submitted by an employee on assuming charge of a post.	किसी पद का कार्यभार ग्रहण करने पर कर्मचारी द्वारा प्रस्तुत रिपोर्ट।	The joining report has been placed on the service book.	कार्यभार ग्रहण रिपोर्ट सेवा पुस्तिका में लगा दी गई है।
Relieving Order	कार्यमुक्ति आदेश	noun	service matters	An order releasing an employee from a post on transfer or otherwise.	स्थानांतरण या अन्य कारण से कर्मचारी को पद से मुक्त करने वाला आदेश।	The relieving order was issued the same afternoon.	कार्यमुक्ति आदेश उसी दोपहर जारी किया गया।
Charge	कार्यभार	noun	service matters	The responsibility and duties attached to a post.	किसी पद से संबद्ध उत्तरदायित्व एवं कर्तव्य।	He handed over charge to his successor.	उसने अपने उत्तरवर्ती को कार्यभार सौंप दिया।
Officiating	स्थानापन्न	adjective	service matters	Holding a higher post temporarily in place of the regular incumbent.	नियमित पदधारी के स्थान पर अस्थायी रूप से उच्चतर पद धारण करना।	She is working in an officiating capacity as Director.	वे निदेशक के रूप में स्थानापन्न हैसियत से कार्य कर रही हैं।
Ad hoc	तदर्थ	adjective	service matters	Made or done for a particular purpose, on a temporary basis.	किसी विशेष प्रयोजन हेतु, अस्थायी आधार पर किया गया।	The appointment is purely on an ad hoc basis.	यह नियुक्ति पूर्णतः तदर्थ आधार पर है।
Regularisation	नियमितीकरण	noun	service matters	Converting an irregular or temporary arrangement into a regular one.	किसी अनियमित अथवा अस्थायी व्यवस्था को नियमित रूप में परिवर्तित करना।	Regularisation of the ad hoc service has been approved.	तदर्थ सेवा के नियमितीकरण को अनुमोदित कर दिया गया है।
Superannuation	अधिवर्षिता	noun	service matters	Retirement from service on attaining the prescribed age.	निर्धारित आयु प्राप्त करने पर सेवा से निवृत्ति।	He will attain the age of superannuation next March.	वे अगले मार्च में अधिवर्षिता आयु प्राप्त कर लेंगे।
Retirement	सेवानिवृत्ति	noun	service matters	Cessation of service on completing the prescribed age or period.	निर्धारित आयु अथवा अवधि पूर्ण होने पर सेवा की समाप्ति।	Retirement benefits will be released within one month.	सेवानिवृत्ति लाभ एक माह के भीतर जारी किए जाएंगे।
Voluntary Retirement	स्वैच्छिक सेवानिवृत्ति	noun	service matters	Retirement sought by an employee before the age of superannuation.	अधिवर्षिता आयु से पूर्व कर्मचारी द्वारा मांगी गई सेवानिवृत्ति।	His request for voluntary retirement has been accepted.	उनका स्वैच्छिक सेवानिवृत्ति का अनुरोध स्वीकार कर लिया गया है।
Resignation	त्यागपत्र	noun	service matters	Voluntary relinquishment of a post by an employee.	कर्मचारी द्वारा स्वेच्छा से पद का परित्याग।	The resignation has been accepted with immediate effect.	त्यागपत्र तत्काल प्रभाव से स्वीकार कर लिया गया है।
Pension	पेंशन	noun	service matters	The periodical payment made to an employee after retirement.	सेवानिवृत्ति के पश्चात कर्मचारी को किया जाने वाला आवधिक भुगतान।	The pension papers have been forwarded to the Accounts Officer.	पेंशन कागज़ात लेखा अधिकारी को अग्रेषित कर दिए गए हैं।
Gratuity	उपदान	noun	service matters	A lump sum paid to an employee at the time of retirement or death.	सेवानिवृत्ति अथवा मृत्यु के समय कर्मचारी को दी जाने वाली एकमुश्त राशि।	Gratuity is calculated on the basis of qualifying service.	उपदान की गणना अर्हक सेवा के आधार पर की जाती है।
Provident Fund	भविष्य निधि	noun	service matters	A fund built from compulsory savings of an employee, payable on retirement.	कर्मचारी की अनिवार्य बचत से निर्मित निधि, जो सेवानिवृत्ति पर देय होती है।	An advance was sanctioned from the provident fund.	भविष्य निधि से अग्रिम स्वीकृत किया गया।
Vacancy	रिक्ति	noun	service matters	A post which is unfilled and available to be filled.	ऐसा पद जो रिक्त है और भरा जाना है।	Five vacancies exist in the grade at present.	इस समय इस ग्रेड में पांच रिक्तियां हैं।
Reservation	आरक्षण	noun	service matters	The setting apart of posts for specified categories as required by rules.	नियमों के अनुसार विनिर्दिष्ट श्रेणियों हेतु पदों का पृथक रखा जाना।	Reservation has been applied as per the roster.	रोस्टर के अनुसार आरक्षण लागू किया गया है।
Service Book	सेवा पुस्तिका	noun	service matters	The official record of an employee's service history.	कर्मचारी की सेवा से संबंधित घटनाओं का शासकीय अभिलेख।	All entries in the service book must be attested.	सेवा पुस्तिका की समस्त प्रविष्टियां अभिप्रमाणित की जानी चाहिए।
Annual Performance Appraisal Report	वार्षिक कार्य निष्पादन मूल्यांकन रिपोर्ट	noun	service matters	The yearly assessment of an employee's work, conduct and potential.	कर्मचारी के कार्य, आचरण और क्षमता का वार्षिक मूल्यांकन।	The Annual Performance Appraisal Report is to be filed by 31 December.	वार्षिक कार्य निष्पादन मूल्यांकन रिपोर्ट 31 दिसंबर तक भरी जानी है।
